Breed,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,HS_Vaccine,BQ_Vaccine,Anthrax_Vaccine,IBR_Vaccine,BVD_Vaccine,Rabies_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Milk_Yield_L
Jersey_Zebu_Cross,Subtropical,Semi_Intensive,129,268.5,5,Late,242,Green_Fodder,10.7,3,73.6,5.8,5.4,8.3,9.0,20.9,74.2,Winter,0.69,0,1,0,1,1,1,1,0,6.99,5.0,12,6.69
Boran,Subtropical,Pastoral,29,379.9,6,Mid,240,Dry_Fodder,13.8,2,78.0,4.56,2.2,7.3,6.2,25.7,40.1,Summer,0.67,1,1,0,0,0,1,0,1,3.07,4.0,12,0.0
Simmental,Continental,Mixed,113,490.3,4,Mid,12,Silage,7.3,5,83.9,5.52,3.2,6.8,10.5,16.0,79.2,Winter,0.39,1,1,1,0,0,1,0,1,9.06,3.5,12,9.55
Kenana,Continental,Mixed,47,409.2,3,Mid,208,Hay,13.2,3,92.4,3.43,1.0,9.6,14.5,23.6,29.1,Summer,0.57,1,0,1,0,0,1,1,0,5.19,3.0,12,4.39
Butana,Tropical,Intensive,82,390.2,5,Late,295,Crop_Residues,18.0,1,73.2,0.5,4.3,9.6,9.2,19.4,58.9,Monsoon,0.39,0,0,1,1,1,1,0,1,3.36,2.0,6,2.85
Jersey,Arid,Extensive,115,499.7,5,Mid,75,Silage,16.5,5,92.0,6.12,5.0,7.2,9.0,35.2,79.9,Winter,0.97,0,0,0,1,0,1,1,0,9.11,3.0,24,7.3
Simmental,Tropical,Pastoral,73,723.0,1,Early,281,Dry_Fodder,11.4,5,89.0,5.92,1.4,9.0,10.9,27.0,24.1,Monsoon,0.46,1,1,1,0,0,1,1,1,0.0,2.5,8,1.57
Red_Sindhi,Temperate,Extensive,135,415.4,1,Late,246,Pasture_Grass,14.1,5,93.3,2.73,7.3,6.1,9.0,33.2,100.0,Summer,0.86,0,0,0,1,0,1,0,0,7.67,3.5,12,7.79
Boran,Continental,Semi_Intensive,56,278.3,5,Early,101,Silage,10.7,2,60.6,4.06,7.3,8.8,12.4,30.2,53.5,Spring,0.84,1,1,1,0,0,0,0,0,7.48,3.5,12,7.13
Holstein_Zebu_Cross,Subtropical,Intensive,128,351.7,6,Mid,142,Green_Fodder,11.6,1,59.8,5.26,5.1,7.1,5.4,20.4,64.4,Monsoon,0.7,1,1,0,1,0,1,1,1,17.59,3.5,12,17.61
Jersey,Temperate,Mixed,47,703.5,2,Early,121,Concentrates,6.0,1,49.2,4.23,8.2,9.7,6.4,-3.6,82.7,Monsoon,1.0,0,0,1,0,0,1,1,0,8.55,3.0,24,8.91
Norwegian_Red,Continental,Pastoral,44,705.6,2,Mid,20,Dry_Fodder,16.7,5,56.9,6.75,8.0,7.8,14.1,24.7,69.6,Monsoon,0.6,1,1,0,0,1,1,0,0,17.24,3.0,24,18.02
Rathi,Mediterranean,Intensive,77,546.0,4,Late,183,Dry_Fodder,7.5,4,84.0,2.61,7.2,4.3,10.2,14.9,83.3,Spring,0.58,1,0,1,1,1,1,1,0,5.37,3.0,12,5.2
Tipo_Carora,Continental,Semi_Intensive,138,536.0,3,Late,203,Mixed_Feed,16.4,1,43.9,2.69,8.6,8.5,5.4,39.7,42.1,Monsoon,0.81,1,1,1,1,1,1,1,0,6.29,4.5,12,6.69
Boran,Subtropical,Mixed,97,466.9,3,Late,184,Green_Fodder,17.4,2,52.2,4.3,5.7,7.8,12.1,25.4,32.6,Winter,0.31,1,1,1,1,0,1,1,0,0.59,3.0,12,0.03
White_Fulani,Subtropical,Pastoral,129,623.3,6,Mid,33,Concentrates,8.1,5,66.2,1.89,1.3,7.9,6.9,19.7,100.0,Spring,0.35,0,0,0,0,1,1,1,0,4.53,4.5,12,6.12
Ongole,Continental,Extensive,83,559.5,4,Late,319,Dry_Fodder,4.9,4,80.4,7.66,7.1,10.8,10.1,15.0,97.8,Monsoon,0.97,1,1,1,1,1,1,0,1,4.23,3.5,8,2.21
Krishna_Valley,Temperate,Pastoral,112,530.0,4,Mid,322,Concentrates,10.5,3,77.1,6.76,7.7,9.7,8.5,25.6,47.2,Summer,0.36,1,1,0,1,0,1,1,0,3.43,3.0,24,4.87
Norwegian_Red,Continental,Semi_Intensive,108,432.5,1,Early,111,Pasture_Grass,11.3,1,43.3,2.16,13.9,7.8,7.4,26.1,43.7,Winter,0.91,1,1,0,0,1,1,1,0,22.0,4.5,12,22.02
Illawarra_Shorthorn,Mediterranean,Semi_Intensive,51,472.2,6,Mid,36,Green_Fodder,18.8,4,90.0,3.19,6.3,6.5,15.2,14.7,83.7,Spring,0.98,1,0,1,1,1,1,1,1,10.44,3.5,12,8.79
Norwegian_Red,Arid,Semi_Intensive,71,274.0,4,Late,67,Silage,4.7,5,39.1,5.27,12.8,9.2,8.8,25.5,45.9,Summer,0.97,1,1,0,1,1,1,1,1,19.87,3.5,12,16.83
Guernsey,Subtropical,Extensive,58,432.0,1,Mid,60,Dry_Fodder,14.6,4,72.5,1.76,9.8,9.3,6.7,7.7,66.5,Autumn,0.4,0,0,1,1,0,1,1,0,13.97,4.5,12,12.6
Gir,Tropical,Pastoral,136,570.9,3,Mid,100,Green_Fodder,23.8,1,84.6,3.89,8.0,5.2,6.9,15.9,81.7,Spring,0.71,1,1,0,1,1,1,1,0,5.7,3.0,12,4.95
Rathi,Mediterranean,Pastoral,63,456.2,5,Late,269,Green_Fodder,11.0,2,53.8,6.37,3.2,9.5,9.4,23.3,37.7,Spring,0.58,0,0,1,1,1,1,0,1,4.51,3.5,12,5.0
Tharparkar,Mediterranean,Mixed,46,252.8,1,Early,337,Green_Fodder,16.2,2,48.0,6.0,11.0,7.6,6.9,26.1,78.3,Winter,0.32,0,1,1,1,1,1,1,1,5.91,4.0,12,7.07
Simmental,Temperate,Intensive,60,691.5,3,Late,28,Mixed_Feed,17.2,2,83.2,4.71,1.0,7.9,12.2,10.1,64.7,Winter,0.86,1,1,1,0,1,0,1,1,12.0,3.5,8,14.61
Montbeliarde,Arid,Pastoral,35,623.8,4,Mid,208,Hay,6.2,4,76.3,5.78,3.9,7.9,8.8,33.9,73.8,Autumn,0.97,1,1,1,0,0,0,0,1,17.08,4.5,12,14.2
Krishna_Valley,Mediterranean,Semi_Intensive,112,607.9,5,Late,284,Crop_Residues,7.0,4,47.9,2.98,6.6,10.3,6.3,26.2,74.3,Summer,0.7,1,1,0,0,0,0,1,1,4.95,2.5,12,4.83
Zebu_Cross_Brazil,Temperate,Extensive,100,284.7,6,Mid,356,Concentrates,9.9,4,80.8,1.86,2.6,8.5,10.9,19.4,85.4,Autumn,0.79,1,1,0,0,1,0,1,0,7.5,2.5,12,5.25
Norwegian_Red,Temperate,Intensive,115,350.6,1,Late,44,Pasture_Grass,12.4,3,64.5,3.33,4.9,7.3,13.5,34.6,35.8,Spring,0.94,1,1,1,1,0,1,0,1,4.57,3.0,12,3.15
Jersey_Zebu_Cross,Mediterranean,Extensive,44,557.3,3,Early,304,Hay,11.4,1,70.0,2.12,10.2,8.1,11.3,24.6,37.3,Winter,0.61,0,0,0,0,1,1,1,1,9.37,3.5,12,7.34
Fleckvieh,Temperate,Semi_Intensive,65,471.9,6,Mid,243,Hay,17.2,5,49.2,3.17,7.3,10.7,9.8,15.6,71.5,Autumn,0.51,1,1,1,0,0,0,1,1,17.98,2.0,12,19.42
Africander,Arid,Pastoral,108,741.2,3,Early,137,Crop_Residues,7.9,4,66.2,3.61,6.3,7.1,10.6,11.1,64.0,Autumn,0.59,1,1,1,1,1,0,0,1,5.64,3.0,12,6.76
Ongole,Mediterranean,Pastoral,113,255.1,3,Late,3,Hay,12.4,2,60.8,5.65,10.9,10.5,12.0,13.6,55.3,Spring,0.52,0,1,1,1,0,1,1,0,0.0,3.0,12,1.2
Zebu_Cross_Brazil,Subtropical,Intensive,30,464.3,6,Mid,129,Crop_Residues,9.9,5,75.9,5.01,7.6,8.3,6.0,22.0,53.8,Spring,0.92,1,0,1,1,0,0,1,1,16.69,3.5,12,14.47
White_Fulani,Subtropical,Intensive,40,527.1,5,Mid,191,Hay,10.0,1,88.7,0.5,8.3,6.6,15.2,10.6,57.5,Monsoon,0.61,1,1,0,1,1,1,1,0,6.96,3.0,12,6.79
Milking_Shorthorn,Continental,Pastoral,132,306.6,1,Early,123,Concentrates,15.8,1,67.9,3.44,7.2,8.7,10.2,20.6,38.9,Monsoon,0.56,1,1,1,0,1,0,0,1,13.64,4.0,12,14.65
Sahiwal,Temperate,Mixed,70,472.0,3,Late,310,Dry_Fodder,7.2,1,72.8,3.56,6.8,7.6,10.1,31.0,51.5,Winter,0.97,1,1,1,0,0,1,1,0,5.02,2.0,12,4.81
Australian_Friesian_Sahiwal,Mediterranean,Extensive,71,566.4,1,Early,290,Mixed_Feed,9.1,2,51.5,7.23,4.3,10.4,11.5,6.1,78.0,Spring,0.32,1,0,1,0,1,0,1,1,9.47,3.5,8,11.75
Holstein_Zebu_Cross,Continental,Pastoral,91,596.8,5,Late,14,Concentrates,17.5,5,84.9,3.0,7.5,4.0,10.8,8.5,85.0,Autumn,0.88,1,0,0,0,1,1,0,1,4.65,4.5,12,4.8
Kenana,Continental,Mixed,140,478.3,6,Late,143,Crop_Residues,11.5,1,59.3,5.85,8.0,11.1,7.6,17.8,52.5,Spring,0.75,1,1,1,1,0,0,1,1,6.57,3.0,12,6.64
Australian_Friesian_Sahiwal,Mediterranean,Mixed,123,713.7,4,Early,271,Green_Fodder,10.8,2,53.9,3.73,11.0,7.7,8.0,35.6,40.9,Spring,0.37,0,1,0,1,0,1,1,1,12.04,3.5,6,11.86
Holstein-Friesian,Temperate,Semi_Intensive,129,439.1,3,Mid,25,Mixed_Feed,17.0,5,50.9,4.8,5.8,6.3,10.9,10.8,69.3,Monsoon,0.73,1,1,1,1,1,0,0,1,20.49,3.5,12,21.0
Ayrshire,Temperate,Pastoral,50,561.7,2,Early,75,Crop_Residues,14.3,5,56.1,7.1,4.4,5.6,9.7,28.1,66.2,Winter,0.42,0,0,1,1,1,1,1,1,19.85,2.5,12,21.48
Kenana,Tropical,Semi_Intensive,33,432.9,1,Late,254,Pasture_Grass,7.3,5,78.7,4.75,6.0,6.5,5.0,29.9,26.5,Autumn,0.34,1,1,1,1,1,0,1,1,7.21,3.0,12,6.05
Kankrej,Tropical,Semi_Intensive,78,699.8,1,Late,134,Pasture_Grass,8.0,1,68.5,3.23,9.1,10.3,10.4,13.5,65.8,Winter,0.55,1,0,0,1,1,1,1,1,4.59,3.5,12,6.04
Krishna_Valley,Temperate,Pastoral,112,661.4,2,Late,233,Green_Fodder,15.8,4,66.3,7.56,6.4,5.4,11.4,43.8,58.6,Spring,0.65,1,1,0,1,1,0,1,1,6.82,3.0,12,9.55
Krishna_Valley,Tropical,Extensive,62,455.0,1,Late,17,Green_Fodder,6.6,2,52.9,3.51,7.3,7.5,11.4,36.9,100.0,Monsoon,0.87,0,1,1,1,1,0,1,1,2.04,4.0,12,2.51
Girolando,Tropical,Pastoral,95,565.4,1,Late,168,Crop_Residues,17.1,4,51.1,3.06,3.5,6.7,13.4,23.3,71.2,Autumn,0.52,0,1,1,0,1,0,1,1,7.75,4.5,24,9.15
Deoni,Arid,Intensive,63,697.7,2,Mid,212,Green_Fodder,12.4,2,44.8,4.54,10.0,7.3,9.5,20.7,27.1,Summer,0.67,1,0,1,1,1,1,0,1,1.63,2.5,12,4.7
Ayrshire,Tropical,Extensive,136,375.6,3,Mid,10,Concentrates,7.3,3,84.4,5.33,8.6,5.5,6.6,14.2,70.2,Monsoon,0.63,0,0,1,1,1,0,1,0,6.91,4.0,12,7.55
Brown_Swiss,Arid,Extensive,143,543.3,5,Late,125,Dry_Fodder,14.0,3,75.4,6.05,3.5,5.7,12.0,26.6,72.5,Winter,0.44,1,1,0,1,1,1,1,0,3.49,3.5,12,3.07
Danish_Red,Continental,Intensive,95,662.6,4,Mid,162,Dry_Fodder,13.3,4,78.8,5.1,5.1,4.8,11.9,10.9,56.3,Autumn,0.74,1,1,1,0,1,1,1,1,21.99,3.5,8,20.05
Milking_Shorthorn,Tropical,Extensive,137,440.7,4,Early,137,Hay,17.7,2,79.6,3.84,6.2,5.4,16.4,3.2,33.9,Autumn,0.87,1,1,1,1,1,0,1,1,21.15,2.5,12,19.95
Jersey_Zebu_Cross,Subtropical,Semi_Intensive,45,537.4,1,Mid,5,Green_Fodder,14.1,5,99.7,6.2,9.5,10.5,9.9,14.9,67.3,Summer,0.46,1,0,0,1,0,0,0,1,3.51,3.0,12,3.93
Norwegian_Red,Arid,Pastoral,57,290.8,2,Mid,161,Dry_Fodder,20.1,5,82.2,2.09,4.9,9.8,9.8,-2.9,36.7,Winter,0.53,0,1,0,1,1,0,0,1,18.96,3.0,12,19.36
Australian_Milking_Zebu,Mediterranean,Intensive,95,688.1,1,Late,204,Concentrates,11.2,2,89.5,4.45,5.0,8.5,8.9,41.4,88.5,Spring,0.75,1,1,0,1,1,0,1,1,12.28,3.0,12,12.05
Holstein-Friesian,Continental,Mixed,113,274.3,4,Late,200,Crop_Residues,6.0,4,83.4,2.74,11.2,7.9,11.3,35.4,49.6,Spring,0.5,1,1,1,0,1,0,0,1,12.92,2.5,24,13.69
Hariana,Temperate,Mixed,97,574.2,5,Early,11,Crop_Residues,11.8,2,58.7,6.49,5.1,8.1,11.4,-7.2,44.0,Spring,0.33,1,1,1,0,1,0,0,1,3.3,4.5,12,3.96
Deoni,Mediterranean,Pastoral,140,555.3,2,Mid,304,Concentrates,12.2,4,50.2,4.38,5.1,5.7,8.5,13.5,79.0,Summer,0.46,0,1,1,1,1,1,0,0,7.58,2.0,12,6.08
Tipo_Carora,Subtropical,Pastoral,47,455.9,3,Late,139,Crop_Residues,16.1,1,42.4,6.4,3.7,7.9,8.9,10.7,50.7,Winter,0.35,1,1,1,0,0,1,1,0,3.29,3.5,12,5.51
Africander,Tropical,Mixed,99,361.4,6,Early,328,Green_Fodder,10.0,4,49.4,5.53,8.3,7.9,15.9,22.2,35.4,Winter,0.37,0,1,0,1,1,1,1,0,0.59,4.5,12,0.49
Red_Poll_Africa,Subtropical,Pastoral,123,531.9,4,Early,93,Silage,13.8,4,67.5,6.81,8.9,9.8,13.3,2.8,38.0,Winter,0.43,0,1,0,0,1,0,0,0,11.57,4.0,8,11.08
Red_Poll_Africa,Mediterranean,Extensive,53,317.9,3,Late,310,Mixed_Feed,6.1,4,41.6,2.68,6.3,11.0,8.0,-4.1,41.1,Winter,0.84,1,1,1,0,1,1,0,0,0.0,3.5,12,0.0
Fleckvieh,Tropical,Pastoral,66,617.0,2,Mid,180,Hay,12.0,4,39.1,3.12,8.5,8.8,12.6,10.7,58.0,Monsoon,0.8,0,1,1,1,0,0,0,0,19.51,3.0,8,20.49
Zebu_Cross_Brazil,Continental,Semi_Intensive,58,426.5,1,Early,343,Dry_Fodder,15.4,5,60.2,5.92,3.8,8.8,9.4,19.6,43.2,Monsoon,0.98,1,1,0,1,1,1,1,1,7.91,4.0,12,8.39
Holstein_Zebu_Cross,Subtropical,Semi_Intensive,116,359.2,1,Late,71,Hay,6.5,2,71.3,5.58,13.5,4.7,8.3,23.5,49.6,Autumn,0.38,1,1,1,0,0,1,0,1,6.44,5.0,12,7.97
Kankrej,Continental,Pastoral,83,388.0,3,Late,14,Silage,11.9,2,80.4,4.26,6.9,9.5,6.5,13.7,77.6,Winter,0.56,1,1,1,1,1,1,1,0,5.02,3.5,12,2.81
Danish_Red,Tropical,Mixed,99,726.4,3,Late,165,Crop_Residues,9.0,1,52.5,3.0,6.6,9.2,8.8,26.2,32.8,Spring,0.65,1,1,0,0,1,0,1,1,17.76,3.0,8,18.93
Africander,Subtropical,Pastoral,40,588.0,1,Mid,288,Green_Fodder,7.4,4,40.5,4.84,2.8,4.0,10.5,-3.4,54.7,Spring,0.56,1,1,1,0,0,1,1,1,4.26,3.0,12,1.73
Krishna_Valley,Temperate,Mixed,126,689.8,4,Early,300,Green_Fodder,14.8,5,60.8,2.58,6.5,7.4,8.4,27.2,22.3,Monsoon,0.37,1,0,1,1,1,0,1,0,4.19,3.5,12,5.99
Norwegian_Red,Continental,Mixed,82,580.3,5,Early,97,Hay,11.6,5,42.3,3.74,7.0,7.8,9.4,33.5,97.4,Monsoon,0.9,1,1,0,1,1,1,1,1,18.31,3.5,6,19.01
Holstein_Zebu_Cross,Mediterranean,Extensive,93,646.1,1,Mid,339,Hay,16.9,5,68.5,5.36,6.3,5.2,9.1,28.2,54.6,Spring,0.91,0,1,1,1,1,0,1,0,7.31,3.5,12,7.43
Guernsey,Arid,Mixed,129,252.4,2,Late,280,Mixed_Feed,14.6,2,103.7,2.86,3.3,4.0,11.1,34.7,97.5,Summer,0.36,1,1,0,1,1,0,1,1,7.67,2.5,8,6.53
Girolando,Temperate,Mixed,119,489.5,2,Mid,137,Crop_Residues,15.1,5,68.9,4.86,6.4,7.7,9.1,29.8,82.8,Monsoon,0.53,1,1,1,0,1,1,1,0,4.51,5.0,12,6.02
Ayrshire,Tropical,Extensive,128,656.9,4,Late,81,Dry_Fodder,13.4,1,79.6,4.08,11.8,8.7,7.6,29.3,65.3,Winter,0.51,0,0,1,1,0,0,1,1,10.48,3.0,24,12.84
White_Fulani,Mediterranean,Extensive,24,695.7,3,Early,197,Pasture_Grass,7.8,1,48.7,3.24,6.7,6.3,12.4,20.0,50.8,Spring,0.97,0,1,0,1,1,0,1,1,9.57,2.5,12,9.14
Milking_Shorthorn,Subtropical,Semi_Intensive,90,494.4,4,Early,345,Green_Fodder,8.4,3,91.4,3.6,7.8,9.9,9.4,11.8,100.0,Monsoon,0.54,0,0,0,1,0,1,0,1,18.59,3.0,12,16.82
Danish_Red,Arid,Semi_Intensive,108,595.2,6,Late,7,Silage,5.6,2,59.1,5.3,9.2,9.1,13.2,25.9,39.6,Winter,0.39,0,1,0,0,0,1,1,0,10.64,2.5,12,11.31
Australian_Friesian_Sahiwal,Mediterranean,Extensive,38,515.7,2,Mid,252,Dry_Fodder,19.2,2,83.4,1.93,5.7,8.0,16.9,13.5,66.5,Winter,0.71,1,1,1,1,1,1,1,1,5.14,3.5,12,6.14
Tharparkar,Continental,Semi_Intensive,81,313.2,1,Early,344,Crop_Residues,15.8,5,86.4,3.01,9.1,10.0,8.9,23.9,43.6,Monsoon,0.77,0,1,0,1,0,1,0,0,12.29,3.5,12,12.43
Norwegian_Red,Continental,Pastoral,109,255.1,3,Mid,257,Green_Fodder,13.6,2,78.6,3.77,9.9,7.4,11.6,29.4,10.0,Summer,0.74,0,0,0,1,1,0,1,0,11.55,3.5,12,13.6
Gangatiri,Arid,Mixed,69,286.6,2,Early,73,Mixed_Feed,14.0,4,75.2,0.5,4.7,6.0,8.6,19.8,25.3,Spring,0.71,1,1,1,1,1,1,1,1,7.73,3.5,12,6.27
Exotic_Local_Cross,Continental,Extensive,92,671.8,5,Late,199,Silage,13.3,2,97.9,3.32,5.4,6.1,5.0,27.9,77.2,Monsoon,0.41,1,0,1,0,0,1,1,1,8.44,4.0,8,9.21
Rathi,Tropical,Intensive,39,401.8,4,Early,108,Hay,11.9,4,72.1,2.3,1.0,7.4,10.9,29.9,52.0,Winter,0.84,1,1,1,1,1,1,0,1,13.53,3.0,12,14.2
Gir,Continental,Semi_Intensive,40,544.4,2,Late,23,Crop_Residues,7.7,1,59.2,5.86,8.8,6.4,10.0,20.8,58.4,Summer,0.51,0,1,0,1,0,1,0,0,5.4,3.0,12,4.07
Ongole,Temperate,Mixed,29,556.0,2,Early,124,Crop_Residues,5.8,4,88.2,5.29,1.7,7.2,15.2,31.4,10.0,Monsoon,0.38,0,0,0,1,1,1,0,0,8.08,3.5,12,8.37
Girolando,Mediterranean,Intensive,50,663.9,5,Late,188,Crop_Residues,13.8,3,69.2,2.21,5.9,9.8,9.1,42.8,63.3,Spring,0.59,1,0,1,0,1,1,0,1,11.69,3.0,12,9.14
Gir,Temperate,Mixed,104,367.5,6,Late,252,Concentrates,8.3,4,90.1,3.68,2.0,11.4,5.4,39.9,52.0,Winter,0.99,1,1,1,1,1,1,1,1,6.54,3.0,8,5.31
Gir,Temperate,Intensive,30,659.8,4,Late,291,Concentrates,9.9,4,112.4,4.53,4.6,8.9,11.9,13.8,64.6,Monsoon,0.76,0,1,1,0,1,1,0,1,3.89,4.5,12,3.96
White_Fulani,Subtropical,Extensive,142,422.1,4,Late,19,Green_Fodder,15.3,4,40.1,0.98,6.8,7.9,7.0,12.7,31.7,Spring,0.74,1,0,1,1,0,1,1,1,4.26,3.0,12,4.87
Kenana,Continental,Intensive,30,548.3,4,Mid,285,Green_Fodder,13.5,2,84.7,0.6,3.0,10.1,7.3,28.5,71.4,Summer,0.55,1,1,1,0,0,1,1,1,2.08,3.0,12,3.25
NDama,Tropical,Pastoral,129,685.4,2,Mid,247,Dry_Fodder,14.4,4,86.5,8.68,4.8,7.8,7.4,28.3,18.7,Monsoon,0.91,1,1,1,0,1,0,0,1,4.61,3.5,12,4.35
Australian_Milking_Zebu,Tropical,Extensive,142,457.9,3,Late,5,Crop_Residues,11.9,1,88.1,4.47,4.8,7.0,7.4,34.9,42.5,Winter,0.84,0,1,0,1,0,1,1,0,0.0,3.5,6,2.85
Danish_Red,Mediterranean,Semi_Intensive,105,521.9,6,Mid,192,Pasture_Grass,13.0,4,59.6,3.64,8.6,8.1,5.2,28.4,46.7,Autumn,0.96,0,1,1,0,0,1,0,1,4.64,3.0,24,5.63
Kenana,Temperate,Mixed,35,511.9,5,Early,351,Pasture_Grass,17.2,3,117.3,3.15,4.7,8.9,7.4,29.8,61.5,Spring,0.95,1,1,0,1,1,1,0,0,5.26,4.0,12,4.55
Simmental,Tropical,Intensive,140,684.6,6,Late,267,Dry_Fodder,9.1,4,58.7,2.77,7.5,4.1,14.2,29.6,31.9,Spring,0.52,1,1,1,1,0,1,0,0,6.45,4.0,12,7.91
Kankrej,Continental,Intensive,125,309.0,2,Late,353,Green_Fodder,15.8,4,70.9,4.16,1.6,6.6,7.3,29.0,64.4,Winter,0.32,1,0,0,1,1,1,0,1,1.55,3.0,12,2.01
Kankrej,Subtropical,Intensive,77,497.2,2,Early,88,Crop_Residues,14.3,3,38.3,4.0,5.4,9.1,9.8,18.6,69.8,Winter,0.56,0,0,1,1,1,0,1,1,7.54,4.0,12,6.04
Danish_Red,Continental,Intensive,116,352.0,5,Mid,11,Crop_Residues,12.2,4,61.8,4.48,5.0,6.9,8.0,7.8,88.5,Spring,0.75,1,1,0,1,1,0,0,1,15.52,3.0,12,14.25
Guernsey,Tropical,Semi_Intensive,108,589.8,5,Early,349,Hay,15.6,5,57.7,5.34,1.8,8.3,6.5,14.7,100.0,Monsoon,0.59,0,1,0,1,1,0,1,1,9.0,3.0,12,8.97
Tharparkar,Continental,Intensive,38,280.3,2,Early,156,Concentrates,15.4,5,69.3,4.95,6.9,7.8,11.7,25.9,96.6,Spring,0.92,1,1,0,1,0,1,0,1,10.42,3.5,24,13.47
